,n_layers,n_wires,train_f1_score,test_f1_score,runtime
0,1,1,0.8444444444444444,0.9,160.78733229637146
1,1,2,0.9777777777777777,0.9333333333333333,280.3264248371124
2,1,3,0.9666666666666667,0.9666666666666667,399.22629141807556
3,1,4,0.9666666666666667,0.9500000000000001,518.140157699585
4,2,1,0.7222222222222222,0.7,259.9574646949768
5,2,2,0.9777777777777777,0.9500000000000001,539.4463844299316
6,2,3,0.9777777777777777,0.9666666666666667,850.0325682163239
7,2,4,0.9666666666666667,0.9500000000000001,1098.913788318634
8,3,1,0.7444444444444445,0.5666666666666667,432.9437427520752
9,3,2,0.9,0.8833333333333333,770.823734998703
10,3,3,0.9888888888888889,0.9166666666666666,1085.3687541484833
11,3,4,1.0,0.9333333333333333,1595.7995076179504
12,4,1,0.8444444444444444,0.8166666666666667,634.9743313789368
13,4,2,0.9111111111111111,0.85,1234.7353284358978
14,4,3,0.9888888888888889,0.9166666666666666,1568.5279321670532
15,4,4,1.0,0.9500000000000001,2194.787672996521
